country,latDem,Dem,Index,colour,pval,tau,ips_ss_val,sa_ss_val,ips_work,ips_trsm,ips_study,ips_fam,ips_mar,ips_sch,ips_med,ips_trans,ips_sprt,sa_work,sa_trsm,sa_study,sa_fam,sa_mar,sa_sch,sa_med,sa_trans,sa_sprt,ips_work_val,ips_trsm_val,ips_study_val,ips_fam_val,ips_mar_val,ips_sch_val,ips_med_val,ips_trans_val,ips_sprt_val,sa_work_val,sa_trsm_val,sa_study_val,sa_fam_val,sa_mar_val,sa_sch_val,sa_med_val,sa_trans_val,sa_sprt_val,DemandPop,LatDemPop,ips_work_val_perc,ips_trsm_val_perc,ips_study_val_perc,ips_fam_val_perc,ips_mar_val_perc,ips_sch_val_perc,ips_med_val_perc,ips_trans_val_perc,ips_sprt_val_perc,sa_work_val_perc,sa_trsm_val_perc,sa_study_val_perc,sa_fam_val_perc,sa_mar_val_perc,sa_sch_val_perc,sa_med_val_perc,sa_trans_val_perc,sa_sprt_val_perc
India,113,101,1,#5b4f94,0.013,0.7,806,184,1,3,5,2,7,8,6,4,9,1,2,6,4,5,7,8,3,9,254,187,16,253,0,0,2,94,0,70,58,2,16,3,0,0,35,0,Work,Work,31.51,23.2,1.99,31.39,0,0,0.25,11.66,0,38.04,31.52,1.09,8.7,1.63,0,0,19.02,0
China,112,98,2,#5b4f94,0.014,0.67,338,131,8,9,6,7,3,2,1,5,4,8,9,7,5,4,3,2,6,1,91,142,37,51,0,0,0,16,1,26,61,19,7,4,3,1,10,0,Tourism,Tourism,26.92,42.01,10.95,15.09,0,0,0,4.73,0.3,19.85,46.56,14.5,5.34,3.05,2.29,0.76,7.63,0
United States,111,113,3,#5b4f94,0.03,0.64,5161,112,2,1,5,3,8,9,7,4,6,1,2,3,4,5,6,7,9,8,1350,1763,67,1087,1,0,2,845,46,45,32,19,9,7,0,0,0,0,Tourism,Work,26.16,34.16,1.3,21.06,0.02,0,0.04,16.37,0.89,40.18,28.57,16.96,8.04,6.25,0,0,0,0
Pakistan,110,84,4,#a35d97,0.0019,0.85,189,68,3,2,5,1,6,7,8,4,9,2,1,5,3,6,7,8,4,9,30,45,8,95,1,0,0,10,0,15,31,4,9,2,1,1,5,0,Family,Tourism,15.87,23.81,4.23,50.26,0.53,0,0,5.29,0,22.06,45.59,5.88,13.24,2.94,1.47,1.47,7.35,0
Australia,109,104,5,#5b4f94,0.12,0.44,1781,70,4,1,6,2,7,8,9,3,5,1,2,4,3,5,6,7,8,9,184,716,5,644,0,0,0,223,9,37,21,3,7,2,0,0,0,0,Tourism,Work,10.33,40.2,0.28,36.16,0,0,0,12.52,0.51,52.86,30,4.29,10,2.86,0,0,0,0
South Africa,108,89,6,#a35d97,0.037,0.59,365,57,2,3,6,1,7,8,9,4,5,2,1,4,5,6,7,8,3,9,78,78,1,143,0,0,0,49,16,17,23,3,3,2,0,0,9,0,Family,Tourism,21.37,21.37,0.27,39.18,0,0,0,13.42,4.38,29.82,40.35,5.26,5.26,3.51,0,0,15.79,0
Russian Federation,107,92,7,#5b4f94,0.0098,0.72,322,60,2,1,5,3,8,7,9,4,6,2,1,3,5,7,6,8,4,9,102,128,15,54,0,1,0,20,2,14,29,9,1,0,1,0,6,0,Tourism,Tourism,31.68,39.75,4.66,16.77,0,0.31,0,6.21,0.62,23.33,48.33,15,1.67,0,1.67,0,10,0
Nigeria,106,95,8,#5b4f94,0.041,0.57,349,51,3,1,5,2,7,8,6,4,9,3,1,2,4,6,7,8,5,9,38,139,5,131,0,0,4,32,0,4,32,6,3,2,1,0,3,0,Tourism,Tourism,10.89,39.83,1.43,37.54,0,0,1.15,9.17,0,7.84,62.75,11.76,5.88,3.92,1.96,0,5.88,0
Philippines,105,69,9,#a35d97,0.0074,0.76,79,50,4,3,5,2,6,7,8,1,9,3,1,5,4,6,7,8,2,9,15,16,1,19,0,0,0,28,0,6,30,2,4,1,0,0,7,0,Transit,Tourism,18.99,20.25,1.27,24.05,0,0,0,35.44,0,12,60,4,8,2,0,0,14,0
Canada,104,103,10,#5b4f94,0.24,0.35,1531,43,4,2,5,1,8,9,7,3,6,1,2,3,5,4,6,7,9,8,251,413,15,490,1,0,2,344,15,25,6,5,2,5,0,0,0,0,Family,Work,16.39,26.98,0.98,32.01,0.07,0,0.13,22.47,0.98,58.14,13.95,11.63,4.65,11.63,0,0,0,0
